2020年 01月 14日 星期二 17:48:56 CST
       N  	      loop	  time(ms)	  time(us)
    400000	      AVER	23321.333984	23321846.000000
para  :-1604578624
       N  	      loop	  time(ms)	  time(us)
    500000	         0	     36472	  36472823
    500000	         1	     36423	  36423356
    500000	         2	     36435	  36435342
      N   	   average	       ms 	        us
    500000	      AVER	36443.332031	36443840.000000
para  :445698416
       N  	      loop	  time(ms)	  time(us)
    600000	         0	     52460	  52460698
    600000	         1	     52556	  52556330
    600000	         2	     52547	  52547995
      N   	   average	       ms 	        us
    600000	      AVER	52521.000000	52521676.000000
para  :-388926432
       N  	      loop	  time(ms)	  time(us)
    700000	         0	     71392	  71392869
    700000	         1	     71434	  71434875
    700000	         2	     71408	  71408494
      N   	   average	       ms 	        us
    700000	      AVER	71411.335938	71412080.000000
para  :186514128
       N  	      loop	  time(ms)	  time(us)
    800000	         0	     93238	  93238933
    800000	         1	     93216	  93216953
    800000	         2	     93288	  93288586
      N   	   average	       ms 	        us
    800000	      AVER	93247.335938	93248160.000000
para  :-2122947200
       N  	      loop	  time(ms)	  time(us)
    900000	         0	    118050	 118050878
    900000	         1	    117981	 117981013
    900000	         2	    118155	 118155923
      N   	   average	       ms 	        us
    900000	      AVER	118062.000000	118062616.000000
para  :1272624176
       N  	      loop	  time(ms)	  time(us)
   1000000	         0	    145793	 145793944
   1000000	         1	    145956	 145956166
   1000000	         2	    145746	 145746524
      N   	   average	       ms 	        us
   1000000	      AVER	145831.671875	145832208.000000
para  :1783293664
